date,tmo
2024-07-23,19933.25
2024-07-24,19798.75
2024-07-25,19267.75
2024-07-26,19073.5
2024-07-29,19302.75
2024-07-30,19131.0
2024-07-31,19135.25
2024-08-01,19684.5
2024-08-02,18790.5
2024-08-05,18025.75
2024-08-06,18392.5
2024-08-07,18387.5
2024-08-08,18022.0
2024-08-09,18565.0
2024-08-12,18636.75
2024-08-13,18670.25
2024-08-14,19108.25
2024-08-15,19215.0
2024-08-16,19633.75
2024-08-19,19646.25
2024-08-20,19875.75
2024-08-21,19832.5
2024-08-22,19882.5
2024-08-23,19666.5
2024-08-26,19763.25
2024-08-27,19596.25
2024-08-28,19619.5
2024-08-29,19275.75
2024-08-30,19453.25
2024-09-02,19589.25
2024-09-03,19561.75
2024-09-04,18881.75
2024-09-05,18905.0
2024-09-06,18871.0
2024-09-09,18538.25
2024-09-10,18652.5
2024-09-11,18750.0
2024-09-12,19308.0
2024-09-13,19451.5
2024-09-16,19532.0
2024-09-17,19647.25
2024-09-18,19687.0
2024-09-19,19865.25
2024-09-20,20051.5
2024-09-23,20145.5
2024-09-24,20050.25
2024-09-25,20128.25
2024-09-26,20364.25
2024-09-27,20320.75
2024-09-30,20219.75
2024-10-01,20284.25
2024-10-02,19985.25
2024-10-03,19950.0
2024-10-04,20012.25
2024-10-07,20219.0
2024-10-08,19985.0
2024-10-09,20237.0
2024-10-10,20470.0
2024-10-11,20456.0
2024-10-14,20408.0
2024-10-15,20633.5
2024-10-16,20387.75
2024-10-17,20297.0
2024-10-18,20362.25
2024-10-21,20480.0
2024-10-22,20468.0
2024-10-23,20511.75
2024-10-24,20320.0
2024-10-25,20375.25
2024-10-28,20612.5
2024-10-29,20461.25
2024-10-30,20728.5
2024-10-31,20422.25
2024-11-01,20087.25
2024-11-04,20233.75
2024-11-05,20085.25
2024-11-06,20596.25
2024-11-07,20922.0
2024-11-08,21224.75
2024-11-11,21287.5
2024-11-12,21222.5
2024-11-13,21140.25
2024-11-14,21139.0
2024-11-15,20919.0
2024-11-18,20648.75
2024-11-19,20682.75
2024-11-20,20802.5
2024-11-21,20677.25
2024-11-22,20809.75
2024-11-25,20965.25
2024-11-26,20901.0
2024-11-27,20966.75
2024-11-28,20855.0
2024-11-29,20932.25
2024-12-02,20957.5
2024-12-03,21224.75
2024-12-04,21351.5
2024-12-05,21510.75
2024-12-06,21472.5
2024-12-09,21639.0
2024-12-10,21468.25
2024-12-11,21431.0
2024-12-12,21761.5
2024-12-13,21718.5
2024-12-16,21800.5
2024-12-17,22415.5
2024-12-18,22335.0
2024-12-19,21484.5
2024-12-20,21247.75
2024-12-23,21705.75
2024-12-24,21751.0
2024-12-26,22086.5
2024-12-27,21947.5
2024-12-30,21688.25
2024-12-31,21410.25
2025-01-02,21324.75
2025-01-03,21225.0
2025-01-06,21523.25
2025-01-07,21720.25
2025-01-08,21393.75
2025-01-09,21310.25
2025-01-10,21302.75
2025-01-13,20897.5
2025-01-14,21043.75
2025-01-15,20944.5
2025-01-16,21390.0
2025-01-17,21289.5
2025-01-20,21565.0
2025-01-21,21607.75
2025-01-22,21869.0
2025-01-23,21963.5
2025-01-24,21995.25
2025-01-27,21497.25
2025-01-28,21300.75
2025-01-29,21597.0
2025-01-30,21660.0
2025-01-31,21730.75
2025-02-03,21019.0
2025-02-04,21449.25
2025-02-05,21561.75
2025-02-06,21804.5
2025-02-07,21857.0
2025-02-10,21685.0
2025-02-11,21784.25
2025-02-12,21782.75
2025-02-13,21906.75
2025-02-14,22142.25
2025-02-17,22276.0
2025-02-18,22268.5
2025-02-19,22267.75
2025-02-20,22176.5
2025-02-21,22124.25
2025-02-24,21776.0
2025-02-25,21424.25
2025-02-26,21252.25
2025-02-27,21171.25
2025-02-28,20616.75
2025-03-03,20951.5
2025-03-04,20530.25
2025-03-05,20537.75
2025-03-06,20637.5
2025-03-07,20184.25
2025-03-10,20125.75
2025-03-11,19434.75
2025-03-12,19451.25
2025-03-13,19518.5
2025-03-14,19449.0
2025-03-17,19584.5
2025-03-18,19940.25
2025-03-19,19762.75
2025-03-20,20083.5
2025-03-21,19874.0
2025-03-24,20104.0
2025-03-25,20338.75
2025-03-26,20479.75
2025-03-27,20134.5
2025-03-28,19988.75
2025-03-31,19199.75
2025-04-01,19360.5
2025-04-02,19567.75
2025-04-03,19105.0
2025-04-04,18561.25
2025-04-07,16809.25
2025-04-08,17773.0
2025-04-09,16930.25
2025-04-10,19014.5
2025-04-11,18479.25
2025-04-14,19058.5
2025-04-15,18915.25
2025-04-16,18673.5
2025-04-17,18534.25
2025-04-21,18221.0
2025-04-22,17981.0
2025-04-23,18702.75
2025-04-24,18756.75
2025-04-25,19447.0
2025-04-28,19403.25
2025-04-29,19574.0
2025-04-30,19522.75
2025-05-01,19958.25
2025-05-02,19978.25
2025-05-05,20056.5
2025-05-06,19987.25
2025-05-07,20002.0
2025-05-08,20164.75
2025-05-09,20185.5
