timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-23 18:15:00,bearish,18.0,18748.5,18774.5,18740.5,18767.75,18769.0,18776.25,18761.75,18764.75,18764.5,18781.75,18762.25,18779.0,False,False,False,18776.25,38.5,False,True,0.0,2.75
2025-04-23 18:35:00,bearish,18.0,18793.5,18814.25,18791.0,18807.75,18807.0,18825.5,18805.5,18805.75,18807.0,18818.25,18798.75,18813.5,True,False,False,18825.5,22.5,False,True,0.0,12.0
2025-04-23 19:00:00,bearish,19.0,18815.25,18831.25,18810.0,18823.5,18827.0,18834.5,18823.25,18828.25,18826.0,18841.5,18815.5,18831.5,True,False,False,18834.5,21.5,False,True,0.0,3.0
2025-04-23 19:30:00,bullish,19.0,18833.25,18833.25,18812.5,18817.25,18816.5,18817.0,18806.25,18816.0,18816.75,18832.25,18814.0,18828.25,True,False,False,18806.25,5.0,True,False,5.0,22.0
2025-04-23 19:40:00,bearish,19.0,18816.75,18832.25,18814.0,18828.25,18828.0,18834.0,18825.5,18828.0,18830.0,18844.0,18828.25,18842.0,False,False,False,18834.0,28.0,False,True,0.0,8.0
2025-04-23 19:50:00,bearish,19.0,18830.0,18844.0,18828.25,18842.0,18841.25,18852.25,18839.0,18839.5,18840.0,18865.75,18826.25,18862.5,True,True,True,18852.25,34.25,False,True,0.0,10.25
2025-04-23 22:00:00,bearish,22.0,18771.0,18784.75,18767.75,18784.0,18785.0,18786.5,18779.75,18782.25,18782.0,18794.75,18778.75,18788.75,True,False,False,18786.5,21.0,False,True,0.0,2.25
2025-04-23 23:35:00,bearish,23.0,18741.0,18758.5,18736.75,18750.5,18749.75,18761.25,18749.5,18758.0,18758.25,18763.5,18757.0,18759.0,False,False,False,18761.25,22.25,False,True,0.0,2.25
2025-04-23 23:40:00,bearish,23.0,18749.75,18761.25,18749.5,18758.0,18758.25,18763.5,18757.0,18759.0,18759.25,18760.5,18753.5,18758.25,True,False,False,18763.5,8.75,True,False,8.75,5.25
2025-04-24 00:40:00,bearish,0.0,18743.5,18769.0,18742.5,18766.5,18765.5,18769.25,18760.0,18765.0,18764.75,18765.0,18760.5,18762.0,False,False,False,18769.25,19.5,False,True,0.0,7.25
2025-04-24 02:35:00,bullish,2.0,18751.0,18751.25,18736.25,18742.75,18741.5,18744.0,18734.25,18739.5,18739.75,18748.5,18737.0,18742.0,True,False,False,18734.25,9.25,False,True,0.0,7.75
2025-04-24 03:35:00,bullish,3.0,18690.5,18698.5,18675.5,18680.25,18679.5,18685.25,18665.0,18677.75,18676.5,18690.25,18660.25,18670.25,True,False,False,18665.0,28.25,False,True,0.0,5.25
