timestamp,type,hour_c0,prev_1d_cat,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2024-12-23 16:00:00,bearish,16.0,Not Analyzed,21559.5,21696.0,21554.25,21693.25,21693.25,21726.5,21642.25,21694.5,21695.25,21756.25,21685.25,21745.5,False,False,False,0.0,79.5,False,True,0.0,19.0
2024-12-23 23:00:00,bullish,23.0,Not Analyzed,21743.25,21762.0,21719.75,21737.0,21737.75,21739.25,21709.0,21735.25,21736.5,21747.75,21720.25,21738.75,True,False,True,29.75,32.25,True,False,4.5,29.75
2024-12-24 15:00:00,bearish,15.0,Not Analyzed,21903.25,21968.5,21897.25,21960.75,21960.75,21994.75,21951.0,21961.75,21961.75,22034.25,21943.0,22032.25,True,False,False,0.0,9.0,False,True,0.0,37.5
2024-12-26 04:00:00,bullish,4.0,Not Analyzed,22110.0,22110.75,22081.75,22086.25,22086.5,22096.25,22076.0,22090.25,22090.25,22098.0,22075.0,22077.25,True,False,False,1.25,6.25,False,True,0.0,1.25
2024-12-26 06:00:00,bullish,6.0,Not Analyzed,22090.25,22098.0,22075.0,22077.25,22077.25,22083.5,22064.75,22078.75,22077.25,22078.0,21957.75,21983.0,False,False,False,0.0,11.0,False,True,0.0,81.75
2024-12-26 09:00:00,bullish,9.0,Not Analyzed,21983.5,21994.0,21922.0,21933.25,21931.5,21946.0,21894.25,21934.5,21933.75,21964.0,21917.25,21961.0,True,False,False,66.75,79.5,True,True,0.0,66.75
2024-12-27 00:00:00,bullish,0.0,Not Analyzed,22006.0,22008.0,21954.75,21972.25,21972.25,21977.25,21950.25,21963.75,21962.0,21972.0,21954.75,21961.0,False,False,False,10.75,6.0,False,True,0.0,10.75
2024-12-27 06:00:00,bullish,6.0,Not Analyzed,21952.25,21954.0,21925.75,21936.25,21936.0,21943.5,21919.0,21927.25,21927.0,21938.0,21902.0,21907.25,False,False,False,0.0,48.0,True,True,0.0,11.75
2024-12-30 21:00:00,bullish,21.0,Not Analyzed,21411.5,21419.75,21350.5,21388.25,21390.25,21392.75,21343.5,21391.25,21392.0,21402.75,21364.75,21369.5,True,False,False,26.0,86.25,True,False,42.0,26.0
2024-12-31 01:00:00,bearish,1.0,Not Analyzed,21370.25,21422.5,21368.75,21417.0,21416.75,21455.75,21415.0,21422.0,21421.0,21428.5,21385.25,21408.25,True,False,False,47.5,48.75,True,False,38.0,47.5
2024-12-31 03:00:00,bullish,3.0,Not Analyzed,21421.0,21428.5,21385.25,21408.25,21408.0,21413.25,21376.5,21410.25,21410.25,21418.0,21387.0,21407.5,True,False,False,31.0,103.5,True,True,0.0,31.0
2024-12-31 16:00:00,bullish,16.0,Not Analyzed,21379.25,21384.0,21287.0,21330.0,21329.75,21344.0,21208.0,21313.75,21313.25,21337.5,21204.5,21220.0,False,False,False,12.0,100.5,False,True,0.0,12.0
2025-01-02 20:00:00,bearish,20.0,Not Analyzed,21063.25,21195.75,21062.0,21169.0,21169.5,21203.5,21168.75,21182.5,21186.75,21188.75,21144.0,21163.5,True,False,False,40.0,10.25,False,True,0.0,40.0
2025-01-03 00:00:00,bearish,0.0,Not Analyzed,21162.75,21240.75,21153.25,21239.0,21239.25,21249.0,21206.0,21224.0,21224.5,21250.0,21221.25,21242.5,False,False,False,6.5,35.0,False,True,0.0,6.5
2025-01-03 02:00:00,bearish,2.0,Not Analyzed,21224.5,21250.0,21221.25,21242.5,21243.0,21260.0,21242.5,21248.0,21249.0,21255.25,21223.0,21223.75,True,False,True,36.25,16.25,True,True,0.0,36.25
2025-01-03 04:00:00,bullish,4.0,Not Analyzed,21249.0,21255.25,21223.0,21223.75,21225.0,21231.75,21207.5,21225.75,21225.5,21256.75,21219.0,21237.25,True,True,True,29.75,50.75,True,False,11.75,29.75
2025-01-03 10:00:00,bullish,10.0,Not Analyzed,21270.25,21272.75,21227.0,21237.0,21237.75,21252.5,21219.25,21246.75,21246.5,21246.5,21208.5,21242.25,False,False,False,23.0,250.0,True,False,28.0,23.0
2025-01-06 09:00:00,bearish,9.0,Not Analyzed,21617.75,21673.0,21616.5,21669.5,21669.0,21693.25,21655.0,21671.0,21670.25,21745.0,21642.0,21730.0,True,False,False,0.0,88.25,False,True,0.0,36.75
2025-01-06 11:00:00,bearish,11.0,Not Analyzed,21670.25,21745.0,21642.0,21730.0,21730.25,21760.5,21711.0,21735.25,21735.0,21751.25,21707.0,21749.5,True,False,False,11.0,107.75,True,True,0.0,11.0
2025-01-06 15:00:00,bearish,15.0,Not Analyzed,21818.25,21892.75,21780.25,21869.5,21870.25,21896.75,21844.5,21857.5,21857.25,21869.25,21768.75,21794.5,True,True,True,102.25,146.75,True,False,23.75,102.25
2025-01-06 21:00:00,bearish,21.0,Not Analyzed,21750.5,21786.25,21750.0,21780.5,21781.25,21796.25,21768.75,21771.75,21770.25,21782.0,21750.0,21761.5,True,True,True,34.75,100.5,True,False,11.0,34.75
