time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1620820800,13274.75,13305,13090.25,13157.75,13274.75,13305,13090.25,13157.75
1620824400,13158,13231.5,13121.25,13157.75,13157.75,13231.5,13121.25,13157.75
1620828000,13157.5,13162.25,13036,13060,13157.75,13162.25,13036,13060
1620831600,13060.25,13108,13007.5,13014,13060,13108,13007.5,13014
1620835200,13014,13052.5,12980,13047.5,13014,13052.5,12980,13047.5
1620838800,13047.5,13089.25,13007.5,13020.75,13047.5,13089.25,13007.5,13020.75
1620842400,13020.75,13072.5,12986.5,13035.5,13020.75,13072.5,12986.5,13035.5
1620846000,13035.25,13043.25,12959.75,12998.5,13035.5,13043.25,12959.75,12998.5
1620849600,12998,13023,12961.5,12965.25,12998.5,13023,12961.5,12965.25
1620856800,12968.75,13015.75,12968.75,13010,12965.25,13015.75,12968.75,13010
1620860400,13009,13022.75,13002.5,13015.75,13010,13022.75,13002.5,13015.75
1620864000,13016,13048,12990.25,13033,13015.75,13048,12990.25,13033
1620867600,13033.5,13062.75,13020.5,13055.75,13033,13062.75,13020.5,13055.75
1620871200,13054.25,13065,13040.5,13060.5,13055.75,13065,13040.5,13060.5
1620874800,13061.25,13069.25,13042.75,13051.5,13060.5,13069.25,13042.75,13051.5
1620878400,13051,13063,13047.25,13056,13051.5,13063,13047.25,13056
1620882000,13055,13061,13006,13012.5,13056,13061,13006,13012.5
1620885600,13013.25,13059.75,13011.75,13030,13012.5,13059.75,13011.75,13030
1620889200,13030.75,13058,12942.75,12962,13030,13058,12942.75,12962
1620892800,12962,12972.75,12915,12950.75,12962,12972.75,12915,12950.75
1620896400,12952,12985.25,12937.75,12956.75,12950.75,12985.25,12937.75,12956.75
1620900000,12956.5,12978.75,12936,12964,12956.75,12978.75,12936,12964
1620903600,12964.5,13083.75,12953.25,13052.75,12964,13083.75,12953.25,13052.75
1620907200,13053,13119.75,13030.75,13088.5,13052.75,13119.75,13030.75,13088.5
1620910800,13087.75,13168.25,13086.75,13159,13088.5,13168.25,13086.75,13159
1620914400,13158.75,13223.75,13153.25,13200.25,13159,13223.75,13153.25,13200.25
1620918000,13200.25,13205.25,13058,13079.5,13200.25,13205.25,13058,13079.5
1620921600,13079.75,13147,13067.5,13072.5,13079.5,13147,13067.5,13072.5
1620925200,13072.25,13098.75,12997.25,13040.25,13072.5,13098.75,12997.25,13040.25
1620928800,13040.5,13156.25,13038.25,13123.5,13040.25,13156.25,13038.25,13123.5
1620932400,13124.5,13169.5,13092.75,13097.5,13123.5,13169.5,13092.75,13097.5
1620936000,13097.75,13098.5,13066,13091.25,13097.5,13098.5,13066,13091.25
1620943200,13095,13109.25,13086.25,13094.25,13091.25,13109.25,13086.25,13094.25
1620946800,13094.75,13119.75,13071,13112,13094.25,13119.75,13071,13112
1620950400,13112,13157,13104,13151,13112,13157,13104,13151
1620954000,13150.25,13188,13147.5,13175.25,13151,13188,13147.5,13175.25
1620957600,13175.5,13181.25,13144.5,13162.5,13175.25,13181.25,13144.5,13162.5
1620961200,13162.75,13201,13162.5,13180,13162.5,13201,13162.5,13180
1620964800,13180.25,13193.5,13168.25,13175.5,13180,13193.5,13168.25,13175.5
1620968400,13174.75,13199.5,13172.75,13191.75,13175.5,13199.5,13172.75,13191.75
1620972000,13191.5,13219,13163,13214.75,13191.75,13219,13163,13214.75
1620975600,13213.75,13216.75,13166.25,13180,13214.75,13216.75,13166.25,13180
1620979200,13179.25,13223.25,13175.5,13213.75,13180,13223.25,13175.5,13213.75
1620982800,13215,13260.5,13211,13239.5,13213.75,13260.5,13211,13239.5
1620986400,13239.5,13246.5,13223.25,13226.25,13239.5,13246.5,13223.25,13226.25
1620990000,13226,13250.5,13218.25,13233.5,13226.25,13250.5,13218.25,13233.5
1620993600,13232.75,13254.75,13202,13239.75,13233.5,13254.75,13202,13239.75
1620997200,13239.75,13268.5,13208.75,13268,13239.75,13268.5,13208.75,13268
1621000800,13267.25,13328.25,13232.5,13327,13268,13328.25,13232.5,13327
1621004400,13326.5,13346.75,13308.75,13331.75,13327,13346.75,13308.75,13331.75
1621008000,13331.25,13365.5,13326,13360.5,13331.75,13365.5,13326,13360.5
1621011600,13360.75,13373,13347.5,13369,13360.5,13373,13347.5,13369
1621015200,13369.25,13426.25,13362.5,13416.75,13369,13426.25,13362.5,13416.75
1621018800,13417,13422.75,13374.75,13384.5,13416.75,13422.75,13374.75,13384.5
1621022400,13384.25,13402.5,13376.25,13398,13384.5,13402.5,13376.25,13398
1621202400,13380.25,13448.5,13377,13407.75,13398,13448.5,13377,13407.75
1621206000,13408.25,13422,13386.25,13394,13407.75,13422,13386.25,13394
1621209600,13393.75,13395.75,13342,13364,13394,13395.75,13342,13364
1621213200,13363,13398.5,13354,13373.75,13364,13398.5,13354,13373.75
1621216800,13373.75,13386.75,13346.75,13369.75,13373.75,13386.75,13346.75,13369.75
1621220400,13369,13377.75,13340.25,13349.5,13369.75,13377.75,13340.25,13349.5
1621224000,13350.75,13381.25,13341.5,13366,13349.5,13381.25,13341.5,13366
1621227600,13366.25,13398.25,13358.75,13362,13366,13398.25,13358.75,13362
1621231200,13362.25,13394.25,13355.25,13366.5,13362,13394.25,13355.25,13366.5
1621234800,13365.5,13393,13332,13344,13366.5,13393,13332,13344
1621238400,13344.75,13369,13339,13363.25,13344,13369,13339,13363.25
1621242000,13362.75,13368.25,13341.75,13346.5,13363.25,13368.25,13341.75,13346.5
1621245600,13346.5,13347,13325.5,13332.5,13346.5,13347,13325.5,13332.5
1621249200,13332.75,13346.75,13307,13308,13332.5,13346.75,13307,13308
1621252800,13308.5,13327.75,13301,13307.75,13308,13327.75,13301,13307.75
1621256400,13307.75,13343,13263.25,13286.25,13307.75,13343,13263.25,13286.25
1621260000,13285,13328.5,13237.5,13292.25,13286.25,13328.5,13237.5,13292.25
1621263600,13291.75,13304.25,13228.25,13238.25,13292.25,13304.25,13228.25,13238.25
1621267200,13238,13268,13219,13235.75,13238.25,13268,13219,13235.75
1621270800,13235.5,13246.75,13182.75,13207.5,13235.75,13246.75,13182.75,13207.5
1621274400,13207.75,13261,13200.25,13258.75,13207.5,13261,13200.25,13258.75
1621278000,13259.5,13306.5,13246.75,13305.75,13258.75,13306.5,13246.75,13305.75
1621281600,13305.5,13316.75,13293.25,13312,13305.75,13316.75,13293.25,13312
1621288800,13308.5,13319.75,13292.25,13293,13312,13319.75,13292.25,13293
1621292400,13294,13332.75,13290,13329.5,13293,13332.75,13290,13329.5
1621296000,13329.75,13346,13327.5,13345,13329.5,13346,13327.5,13345
1621299600,13344.5,13363,13340,13357.25,13345,13363,13340,13357.25
1621303200,13357,13362.75,13339,13349,13357.25,13362.75,13339,13349
1621306800,13349.75,13356.75,13342.25,13353.5,13349,13356.75,13342.25,13353.5
1621310400,13353.25,13355,13335.25,13349.5,13353.5,13355,13335.25,13349.5
1621314000,13349.75,13384.5,13342.25,13378.5,13349.5,13384.5,13342.25,13378.5
1621317600,13379,13424.5,13374.75,13417.25,13378.5,13424.5,13374.75,13417.25
1621321200,13418,13432.25,13408,13410.75,13417.25,13432.25,13408,13410.75
1621324800,13411.5,13412.5,13395.75,13399.75,13410.75,13412.5,13395.75,13399.75
1621328400,13399.75,13416.25,13393.5,13405,13399.75,13416.25,13393.5,13405
1621332000,13405.75,13414.5,13387.75,13397,13405,13414.5,13387.75,13397
1621335600,13396.75,13397.5,13366,13372,13397,13397.5,13366,13372
1621339200,13372.5,13391.75,13353.75,13365.75,13372,13391.75,13353.75,13365.75
1621342800,13365.25,13367.5,13300,13327.25,13365.75,13367.5,13300,13327.25
1621346400,13327.5,13396.5,13310.5,13383.5,13327.25,13396.5,13310.5,13383.5
1621350000,13383.75,13391.75,13327.75,13329,13383.5,13391.75,13327.75,13329
1621353600,13329.25,13375.25,13326.25,13357.5,13329,13375.25,13326.25,13357.5
1621357200,13357.75,13368.75,13326.75,13331.5,13357.5,13368.75,13326.75,13331.5
1621360800,13331.25,13338.5,13240,13269,13331.5,13338.5,13240,13269
1621364400,13269.25,13312.5,13203.75,13213.25,13269,13312.5,13203.75,13213.25
1621368000,13213.25,13223.75,13178.5,13188.75,13213.25,13223.75,13178.5,13188.75
1621375200,13182,13212.75,13181.5,13204,13188.75,13212.75,13181.5,13204
1621378800,13204.5,13223,13166.5,13170,13204,13223,13166.5,13170
1621382400,13172.25,13213.75,13156.5,13199.25,13170,13213.75,13156.5,13199.25
1621386000,13199.5,13216.75,13181,13190.5,13199.25,13216.75,13181,13190.5
1621389600,13191.5,13191.5,13137.5,13145.75,13190.5,13191.5,13137.5,13145.75
1621393200,13145.5,13169,13140.25,13164.75,13145.75,13169,13140.25,13164.75
1621396800,13164.75,13173.25,13127,13141.25,13164.75,13173.25,13127,13141.25
1621400400,13141.5,13153.5,13131.75,13152,13141.25,13153.5,13131.75,13152
1621404000,13152,13158.5,13101.25,13140.5,13152,13158.5,13101.25,13140.5
1621407600,13141,13146.75,13057.75,13071,13140.5,13146.75,13057.75,13071
1621411200,13069.75,13082.5,13032.5,13047,13071,13082.5,13032.5,13047
1621414800,13048,13087.5,13022,13030.75,13047,13087.5,13022,13030.75
1621418400,13031.5,13067,13027.25,13056,13030.75,13067,13027.25,13056
1621422000,13056,13063.5,12994.5,13006.5,13056,13063.5,12994.5,13006.5
1621425600,13006.5,13039.25,12965.75,12981,13006.5,13039.25,12965.75,12981
1621429200,12980.25,13077.5,12954.25,13043.75,12981,13077.5,12954.25,13043.75
1621432800,13042,13117.5,13004.75,13095.25,13043.75,13117.5,13004.75,13095.25
1621436400,13094.75,13149.75,13070.25,13133,13095.25,13149.75,13070.25,13133
1621440000,13132.75,13172.25,13115,13150.5,13133,13172.25,13115,13150.5
1621443600,13150.5,13198,13146.25,13164,13150.5,13198,13146.25,13164
1621447200,13165,13243,13103.25,13148.25,13164,13243,13103.25,13148.25
1621450800,13148.5,13239,13124.25,13230.5,13148.25,13239,13124.25,13230.5
1621454400,13230.5,13239,13198.5,13218.75,13230.5,13239,13198.5,13218.75
1621461600,13220.5,13227,13180.75,13182.5,13218.75,13227,13180.75,13182.5
1621465200,13182.25,13192.25,13177,13185.5,13182.5,13192.25,13177,13185.5
1621468800,13185.75,13239.5,13179.75,13217,13185.5,13239.5,13179.75,13217
1621472400,13217.5,13229.25,13186,13217.5,13217,13229.25,13186,13217.5
1621476000,13217.75,13225.25,13198,13199.5,13217.5,13225.25,13198,13199.5
1621479600,13199.25,13226.75,13192.5,13213.75,13199.5,13226.75,13192.5,13213.75
1621483200,13213.25,13232.5,13211.75,13231.25,13213.75,13232.5,13211.75,13231.25
1621486800,13230.25,13234.75,13213.5,13223,13231.25,13234.75,13213.5,13223
1621490400,13222,13234.5,13198.25,13205.25,13223,13234.5,13198.25,13205.25
1621494000,13206,13259.75,13187.5,13241.25,13205.25,13259.75,13187.5,13241.25
1621497600,13241.25,13243.75,13166,13186.75,13241.25,13243.75,13166,13186.75
1621501200,13186.5,13190.75,13150.75,13169.25,13186.75,13190.75,13150.75,13169.25
1621504800,13169.5,13195.75,13157.25,13195,13169.25,13195.75,13157.25,13195
1621508400,13195.25,13240,13192.75,13231.5,13195,13240,13192.75,13231.5
1621512000,13232.25,13281.75,13223.5,13281.75,13231.5,13281.75,13223.5,13281.75
1621515600,13281.25,13398.75,13277.75,13384.75,13281.75,13398.75,13277.75,13384.75
1621519200,13384.5,13447,13381.25,13432,13384.75,13447,13381.25,13432
1621522800,13432.25,13503.75,13424,13489,13432,13503.75,13424,13489
1621526400,13489.25,13489.75,13444,13467.25,13489,13489.75,13444,13467.25
1621530000,13467.25,13497.75,13457,13479.25,13467.25,13497.75,13457,13479.25
1621533600,13479.5,13512,13470.5,13505.5,13479.25,13512,13470.5,13505.5
1621537200,13505.5,13522.75,13481,13486.5,13505.5,13522.75,13481,13486.5
